,action_taken_name,loan_purpose_name,denial_reason_name_1
4198,Application denied by financial institution,Home purchase,Credit history
4199,Application denied by financial institution,Home improvement,Credit history
4200,Application denied by financial institution,Refinancing,Credit application incomplete
4201,Application denied by financial institution,Refinancing,Other
4202,Application denied by financial institution,Home improvement,Credit history
4203,Application denied by financial institution,Refinancing,Collateral
4204,Application denied by financial institution,Home purchase,Collateral
4205,Application denied by financial institution,Home purchase,Unverifiable information
4206,Application denied by financial institution,Refinancing,Debt-to-income ratio
4207,Application denied by financial institution,Home purchase,Debt-to-income ratio
4208,Application denied by financial institution,Home purchase,Unverifiable information
4209,Application denied by financial institution,Home improvement,Credit history
4210,Application denied by financial institution,Refinancing,Collateral
4211,Application denied by financial institution,Refinancing,Debt-to-income ratio
4212,Application denied by financial institution,Refinancing,Credit history
4213,Application denied by financial institution,Refinancing,Debt-to-income ratio
4214,Application denied by financial institution,Home purchase,Debt-to-income ratio
4215,Application denied by financial institution,Home improvement,Credit history
4216,Application denied by financial institution,Home purchase,Credit application incomplete
4217,Application denied by financial institution,Home purchase,Debt-to-income ratio
4218,Application denied by financial institution,Home purchase,Credit application incomplete
4219,Application denied by financial institution,Home improvement,Debt-to-income ratio
4220,Application denied by financial institution,Home purchase,Debt-to-income ratio
4221,Application denied by financial institution,Home purchase,Credit history
4222,Application denied by financial institution,Refinancing,Debt-to-income ratio
4223,Application denied by financial institution,Refinancing,Collateral
4224,Application denied by financial institution,Refinancing,Debt-to-income ratio
4225,Application denied by financial institution,Refinancing,Collateral
4226,Application denied by financial institution,Home purchase,Other
4227,Application denied by financial institution,Refinancing,Credit application incomplete
4228,Application denied by financial institution,Refinancing,Credit application incomplete
4229,Application denied by financial institution,Home improvement,Debt-to-income ratio
4230,Application denied by financial institution,Home purchase,Debt-to-income ratio
4231,Application denied by financial institution,Refinancing,Credit history
4232,Application denied by financial institution,Refinancing,Debt-to-income ratio
4233,Application denied by financial institution,Home improvement,Credit history
4234,Application denied by financial institution,Refinancing,Debt-to-income ratio
4235,Application denied by financial institution,Refinancing,Credit history
4236,Application denied by financial institution,Home purchase,Debt-to-income ratio
4237,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
4238,Application denied by financial institution,Refinancing,Collateral
4239,Application denied by financial institution,Home purchase,Debt-to-income ratio
4240,Application denied by financial institution,Refinancing,Debt-to-income ratio
4241,Application denied by financial institution,Refinancing,Credit application incomplete
4242,Application denied by financial institution,Refinancing,Other
4243,Application denied by financial institution,Home improvement,Collateral
4244,Application denied by financial institution,Refinancing,Collateral
4245,Application denied by financial institution,Home purchase,Debt-to-income ratio
4246,Application denied by financial institution,Home purchase,Collateral
4247,Application denied by financial institution,Refinancing,Collateral
4248,Application denied by financial institution,Home purchase,Credit application incomplete
4249,Application denied by financial institution,Refinancing,Debt-to-income ratio
4250,Application denied by financial institution,Refinancing,Other
4251,Application denied by financial institution,Refinancing,Collateral
4252,Application denied by financial institution,Home improvement,Credit history
4253,Application denied by financial institution,Home improvement,Collateral
4254,Application denied by financial institution,Refinancing,Debt-to-income ratio
4255,Application denied by financial institution,Refinancing,Debt-to-income ratio
4256,Application denied by financial institution,Home improvement,Credit history
4257,Application denied by financial institution,Home improvement,Debt-to-income ratio
4258,Application denied by financial institution,Refinancing,Debt-to-income ratio
4259,Application denied by financial institution,Home improvement,Debt-to-income ratio
4260,Application denied by financial institution,Refinancing,Collateral
4261,Application denied by financial institution,Refinancing,Credit history
4262,Application denied by financial institution,Home purchase,Collateral
4263,Application denied by financial institution,Home purchase,Credit history
4264,Application denied by financial institution,Refinancing,Employment history
4265,Application denied by financial institution,Home purchase,Collateral
4266,Application denied by financial institution,Refinancing,Other
4267,Application denied by financial institution,Home purchase,Debt-to-income ratio
4268,Application denied by financial institution,Home purchase,Collateral
4269,Application denied by financial institution,Refinancing,Credit application incomplete
4270,Application denied by financial institution,Home purchase,Debt-to-income ratio
4271,Application denied by financial institution,Home purchase,Other
4272,Application denied by financial institution,Refinancing,Credit application incomplete
4273,Application denied by financial institution,Refinancing,Debt-to-income ratio
4274,Application denied by financial institution,Refinancing,Debt-to-income ratio
4275,Application denied by financial institution,Refinancing,Unverifiable information
4276,Application denied by financial institution,Home improvement,Credit history
4277,Application denied by financial institution,Refinancing,Debt-to-income ratio
4278,Application denied by financial institution,Home purchase,Credit application incomplete
4279,Application denied by financial institution,Refinancing,Other
4280,Application denied by financial institution,Refinancing,Debt-to-income ratio
4281,Application denied by financial institution,Home improvement,Credit history
4282,Application denied by financial institution,Refinancing,Debt-to-income ratio
4283,Application denied by financial institution,Home purchase,Unverifiable information
4284,Application denied by financial institution,Refinancing,Credit application incomplete
4285,Application denied by financial institution,Home purchase,Collateral
4286,Application denied by financial institution,Home purchase,Credit application incomplete
4287,Application denied by financial institution,Refinancing,Collateral
4288,Application denied by financial institution,Refinancing,Credit history
4289,Application denied by financial institution,Refinancing,Collateral
4290,Application denied by financial institution,Refinancing,Collateral
4291,Application denied by financial institution,Refinancing,Collateral
4292,Application denied by financial institution,Home improvement,Debt-to-income ratio
4293,Application denied by financial institution,Home improvement,Credit history
4294,Application denied by financial institution,Home improvement,Credit history
4295,Application denied by financial institution,Home purchase,Debt-to-income ratio
4296,Application denied by financial institution,Refinancing,Credit application incomplete
4297,Application denied by financial institution,Home purchase,Debt-to-income ratio
4298,Application denied by financial institution,Refinancing,Debt-to-income ratio
4299,Application denied by financial institution,Refinancing,Debt-to-income ratio
4300,Application denied by financial institution,Refinancing,Collateral
4301,Application denied by financial institution,Home purchase,Credit application incomplete
4302,Application denied by financial institution,Refinancing,Debt-to-income ratio
4303,Application denied by financial institution,Refinancing,Collateral
4304,Application denied by financial institution,Home improvement,Debt-to-income ratio
4305,Application denied by financial institution,Home purchase,Collateral
4306,Application denied by financial institution,Refinancing,Collateral
4307,Application denied by financial institution,Home improvement,Debt-to-income ratio
4308,Application denied by financial institution,Home improvement,Other
4309,Application denied by financial institution,Home purchase,Debt-to-income ratio
4310,Application denied by financial institution,Home purchase,Other
4311,Application denied by financial institution,Home purchase,Credit application incomplete
4312,Application denied by financial institution,Home improvement,Collateral
4313,Application denied by financial institution,Refinancing,Collateral
4314,Application denied by financial institution,Refinancing,Credit history
4315,Application denied by financial institution,Home purchase,Collateral
4316,Application denied by financial institution,Refinancing,Other
4317,Application denied by financial institution,Home improvement,Collateral
4318,Application denied by financial institution,Refinancing,Other
4319,Application denied by financial institution,Home purchase,Collateral
4320,Application denied by financial institution,Home improvement,Credit application incomplete
4321,Application denied by financial institution,Home purchase,Debt-to-income ratio
4322,Application denied by financial institution,Refinancing,Debt-to-income ratio
4323,Application denied by financial institution,Home improvement,Debt-to-income ratio
4324,Application denied by financial institution,Home improvement,Credit history
4325,Application denied by financial institution,Home improvement,Credit history
4326,Application denied by financial institution,Home purchase,Debt-to-income ratio
4327,Application denied by financial institution,Home purchase,Collateral
4328,Application denied by financial institution,Home improvement,Credit history
4329,Application denied by financial institution,Refinancing,Other
4330,Application denied by financial institution,Home purchase,Debt-to-income ratio
4331,Application denied by financial institution,Home improvement,Debt-to-income ratio
4332,Application denied by financial institution,Home purchase,Debt-to-income ratio
4333,Application denied by financial institution,Home purchase,Unverifiable information
4334,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
4335,Application denied by financial institution,Home improvement,Credit history
4336,Application denied by financial institution,Home improvement,Other
4337,Application denied by financial institution,Home purchase,Debt-to-income ratio
4338,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
4339,Application denied by financial institution,Home purchase,Collateral
4340,Application denied by financial institution,Home improvement,Credit history
4341,Application denied by financial institution,Refinancing,Collateral
4342,Application denied by financial institution,Refinancing,Debt-to-income ratio
4343,Application denied by financial institution,Home purchase,Credit history
4344,Application denied by financial institution,Home purchase,Collateral
4345,Application denied by financial institution,Refinancing,Credit application incomplete
4346,Application denied by financial institution,Refinancing,Debt-to-income ratio
4347,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
4348,Application denied by financial institution,Refinancing,Debt-to-income ratio
4349,Application denied by financial institution,Home improvement,Debt-to-income ratio
4350,Application denied by financial institution,Home purchase,Debt-to-income ratio
4351,Application denied by financial institution,Home purchase,Collateral
4352,Application denied by financial institution,Refinancing,Credit application incomplete
4353,Application denied by financial institution,Refinancing,Collateral
4354,Application denied by financial institution,Home purchase,Credit history
4355,Application denied by financial institution,Refinancing,Collateral
4356,Application denied by financial institution,Refinancing,Debt-to-income ratio
4357,Application denied by financial institution,Home purchase,Debt-to-income ratio
4358,Application denied by financial institution,Refinancing,Credit application incomplete
4359,Application denied by financial institution,Refinancing,Other
4360,Application denied by financial institution,Refinancing,Debt-to-income ratio
4361,Application denied by financial institution,Home improvement,Employment history
4362,Application denied by financial institution,Home purchase,Collateral
4363,Application denied by financial institution,Refinancing,Debt-to-income ratio
4364,Application denied by financial institution,Home purchase,Other
4365,Application denied by financial institution,Home purchase,Collateral
4366,Application denied by financial institution,Refinancing,Other
4367,Application denied by financial institution,Home purchase,Debt-to-income ratio
4368,Application denied by financial institution,Refinancing,Collateral
4369,Application denied by financial institution,Refinancing,Credit history
4370,Application denied by financial institution,Home improvement,Credit history
4371,Application denied by financial institution,Home purchase,Collateral
4372,Application denied by financial institution,Refinancing,Collateral
4373,Application denied by financial institution,Home purchase,Credit application incomplete
4374,Application denied by financial institution,Refinancing,Debt-to-income ratio
4375,Application denied by financial institution,Home improvement,Debt-to-income ratio
4376,Application denied by financial institution,Refinancing,Debt-to-income ratio
4377,Application denied by financial institution,Refinancing,Credit application incomplete
4378,Application denied by financial institution,Home improvement,Credit history
4379,Application denied by financial institution,Home purchase,Credit application incomplete
4380,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
4381,Application denied by financial institution,Refinancing,Collateral
4382,Application denied by financial institution,Refinancing,Debt-to-income ratio
4383,Application denied by financial institution,Home purchase,Credit application incomplete
4384,Application denied by financial institution,Home improvement,Other
4385,Application denied by financial institution,Home improvement,Credit history
4386,Application denied by financial institution,Home purchase,Credit history
4387,Application denied by financial institution,Home improvement,Credit history
4388,Application denied by financial institution,Home purchase,Debt-to-income ratio
4389,Application denied by financial institution,Refinancing,Other
4390,Application denied by financial institution,Home purchase,Employment history
4391,Application denied by financial institution,Refinancing,Collateral
4392,Application denied by financial institution,Home improvement,Collateral
4393,Application denied by financial institution,Refinancing,Debt-to-income ratio
4394,Application denied by financial institution,Refinancing,Collateral
4395,Application denied by financial institution,Home purchase,Unverifiable information
4396,Application denied by financial institution,Refinancing,Collateral
4397,Application denied by financial institution,Refinancing,Collateral
4398,Application denied by financial institution,Home improvement,Other
4399,Application denied by financial institution,Refinancing,Debt-to-income ratio
4400,Application denied by financial institution,Home purchase,Other
4401,Application denied by financial institution,Refinancing,Credit history
4402,Application denied by financial institution,Home purchase,Collateral
4403,Application denied by financial institution,Refinancing,Credit history
4404,Application denied by financial institution,Refinancing,Credit application incomplete
4405,Application denied by financial institution,Home purchase,Debt-to-income ratio
4406,Application denied by financial institution,Refinancing,Collateral
4407,Application denied by financial institution,Refinancing,Collateral
4408,Application denied by financial institution,Home improvement,Credit history
4409,Application denied by financial institution,Home purchase,Credit application incomplete
4410,Application denied by financial institution,Home purchase,Collateral
4411,Application denied by financial institution,Refinancing,Collateral
4412,Application denied by financial institution,Refinancing,Collateral
4413,Application denied by financial institution,Home improvement,Credit history
4414,Application denied by financial institution,Refinancing,Collateral
4415,Application denied by financial institution,Home improvement,Credit history
4416,Application denied by financial institution,Refinancing,Debt-to-income ratio
4417,Application denied by financial institution,Home improvement,Credit history
4418,Application denied by financial institution,Refinancing,Collateral
4419,Application denied by financial institution,Home purchase,Employment history
4420,Application denied by financial institution,Refinancing,Collateral
4421,Application denied by financial institution,Home purchase,Collateral
4422,Application denied by financial institution,Home improvement,Debt-to-income ratio
4423,Application denied by financial institution,Home improvement,Credit history
4424,Application denied by financial institution,Refinancing,Credit application incomplete
4425,Application denied by financial institution,Home purchase,Other
4426,Application denied by financial institution,Refinancing,Collateral
4427,Application denied by financial institution,Home purchase,Credit history
4428,Application denied by financial institution,Refinancing,Credit application incomplete
4429,Application denied by financial institution,Refinancing,Debt-to-income ratio
4430,Application denied by financial institution,Home improvement,Credit application incomplete
4431,Application denied by financial institution,Home improvement,Credit application incomplete
4432,Application denied by financial institution,Home improvement,Credit history
4433,Application denied by financial institution,Home improvement,Credit history
4434,Application denied by financial institution,Refinancing,Credit history
4435,Application denied by financial institution,Refinancing,Credit application incomplete
4436,Application denied by financial institution,Home improvement,Credit history
4437,Application denied by financial institution,Home purchase,Collateral
4438,Application denied by financial institution,Refinancing,Debt-to-income ratio
4439,Application denied by financial institution,Refinancing,Collateral
4440,Application denied by financial institution,Refinancing,Collateral
4441,Application denied by financial institution,Home purchase,Debt-to-income ratio
4442,Application denied by financial institution,Refinancing,Debt-to-income ratio
4443,Application denied by financial institution,Refinancing,Collateral
4444,Application denied by financial institution,Home purchase,Debt-to-income ratio
4445,Application denied by financial institution,Home purchase,Debt-to-income ratio
4446,Application denied by financial institution,Refinancing,Unverifiable information
4447,Application denied by financial institution,Refinancing,Collateral
4448,Application denied by financial institution,Home purchase,Debt-to-income ratio
4449,Application denied by financial institution,Refinancing,Collateral
4450,Application denied by financial institution,Home purchase,Other
4451,Application denied by financial institution,Refinancing,Credit application incomplete
4452,Application denied by financial institution,Home purchase,Credit application incomplete
4453,Application denied by financial institution,Home improvement,Credit history
4454,Application denied by financial institution,Home improvement,Credit history
4455,Application denied by financial institution,Refinancing,Credit application incomplete
4456,Application denied by financial institution,Refinancing,Debt-to-income ratio
4457,Application denied by financial institution,Home improvement,Credit history
4458,Application denied by financial institution,Home improvement,Credit history
4459,Application denied by financial institution,Refinancing,Credit history
4460,Application denied by financial institution,Home improvement,Debt-to-income ratio
4461,Application denied by financial institution,Refinancing,Debt-to-income ratio
4462,Application denied by financial institution,Refinancing,Debt-to-income ratio
4463,Application denied by financial institution,Home purchase,Credit application incomplete
4464,Application denied by financial institution,Home purchase,Collateral
4465,Application denied by financial institution,Refinancing,Collateral
4466,Application denied by financial institution,Refinancing,Collateral
4467,Application denied by financial institution,Home improvement,Credit history
4468,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
4469,Application denied by financial institution,Home improvement,Credit history
4470,Application denied by financial institution,Home improvement,Credit history
4471,Application denied by financial institution,Home purchase,Debt-to-income ratio
4472,Application denied by financial institution,Home purchase,Other
4473,Application denied by financial institution,Home improvement,Credit history
4474,Application denied by financial institution,Home improvement,Collateral
4475,Application denied by financial institution,Home purchase,Debt-to-income ratio
4476,Application denied by financial institution,Refinancing,Credit application incomplete
4477,Application denied by financial institution,Home improvement,Credit history
4478,Application denied by financial institution,Home improvement,Debt-to-income ratio
4479,Application denied by financial institution,Refinancing,Credit history
4480,Application denied by financial institution,Refinancing,Debt-to-income ratio
4481,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
4482,Application denied by financial institution,Refinancing,Credit history
4483,Application denied by financial institution,Refinancing,Credit history
4484,Application denied by financial institution,Refinancing,Credit application incomplete
4485,Application denied by financial institution,Home improvement,Credit history
4486,Application denied by financial institution,Home improvement,Credit history
4487,Application denied by financial institution,Home purchase,Debt-to-income ratio
4488,Application denied by financial institution,Refinancing,Debt-to-income ratio
4489,Application denied by financial institution,Home purchase,Collateral
4490,Application denied by financial institution,Home purchase,Debt-to-income ratio
4491,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
4492,Application denied by financial institution,Home purchase,Debt-to-income ratio
4493,Application denied by financial institution,Home purchase,Debt-to-income ratio
4494,Application denied by financial institution,Refinancing,Debt-to-income ratio
4495,Application denied by financial institution,Refinancing,Other
4496,Application denied by financial institution,Refinancing,Credit history
4497,Application denied by financial institution,Home improvement,Credit history
4498,Application denied by financial institution,Refinancing,Credit history
4499,Application denied by financial institution,Refinancing,Debt-to-income ratio
4500,Application denied by financial institution,Refinancing,Credit history
4501,Application denied by financial institution,Refinancing,Credit history
4502,Application denied by financial institution,Refinancing,Other
4503,Application denied by financial institution,Home purchase,Collateral
4504,Application denied by financial institution,Refinancing,Debt-to-income ratio
4505,Application denied by financial institution,Refinancing,Credit application incomplete
4506,Application denied by financial institution,Home purchase,Credit application incomplete
4507,Application denied by financial institution,Refinancing,Collateral
4508,Application denied by financial institution,Home improvement,Other
4509,Application denied by financial institution,Refinancing,Debt-to-income ratio
4510,Application denied by financial institution,Refinancing,Debt-to-income ratio
4511,Application denied by financial institution,Refinancing,Credit history
4512,Application denied by financial institution,Refinancing,Collateral
4513,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
4514,Application denied by financial institution,Refinancing,Debt-to-income ratio
4515,Application denied by financial institution,Refinancing,Credit application incomplete
4516,Application denied by financial institution,Home improvement,Credit history
4517,Application denied by financial institution,Refinancing,Debt-to-income ratio
4518,Application denied by financial institution,Home improvement,Credit history
4519,Application denied by financial institution,Home improvement,Collateral
4520,Application denied by financial institution,Refinancing,Collateral
4521,Application denied by financial institution,Refinancing,Collateral
4522,Application denied by financial institution,Refinancing,Credit history
4523,Application denied by financial institution,Refinancing,Debt-to-income ratio
4524,Application denied by financial institution,Refinancing,Other
4525,Application denied by financial institution,Home purchase,Unverifiable information
4526,Application denied by financial institution,Home improvement,Credit application incomplete
4527,Application denied by financial institution,Refinancing,Debt-to-income ratio
4528,Application denied by financial institution,Home improvement,Debt-to-income ratio
4529,Application denied by financial institution,Home purchase,Collateral
4530,Application denied by financial institution,Refinancing,Collateral
4531,Application denied by financial institution,Refinancing,Collateral
4532,Application denied by financial institution,Home improvement,Other
4533,Application denied by financial institution,Home purchase,Collateral
4534,Application denied by financial institution,Refinancing,Credit application incomplete
4535,Application denied by financial institution,Refinancing,Other
4536,Application denied by financial institution,Refinancing,Debt-to-income ratio
4537,Application denied by financial institution,Refinancing,Credit history
4538,Application denied by financial institution,Refinancing,Debt-to-income ratio
4539,Application denied by financial institution,Home purchase,Credit history
4540,Application denied by financial institution,Refinancing,Other
4541,Application denied by financial institution,Refinancing,Credit application incomplete
4542,Application denied by financial institution,Home improvement,Debt-to-income ratio
4543,Application denied by financial institution,Home purchase,Debt-to-income ratio
4544,Application denied by financial institution,Home purchase,Debt-to-income ratio
4545,Application denied by financial institution,Home improvement,Credit history
4546,Application denied by financial institution,Home improvement,Credit history
4547,Application denied by financial institution,Home improvement,Credit history
4548,Application denied by financial institution,Refinancing,Debt-to-income ratio
4549,Application denied by financial institution,Home improvement,Credit application incomplete
4550,Application denied by financial institution,Refinancing,Credit application incomplete
4551,Application denied by financial institution,Refinancing,Credit application incomplete
4552,Application denied by financial institution,Refinancing,Collateral
4553,Application denied by financial institution,Home improvement,Collateral
4554,Application denied by financial institution,Home improvement,Credit history
4555,Application denied by financial institution,Refinancing,Debt-to-income ratio
4556,Application denied by financial institution,Home improvement,Debt-to-income ratio
4557,Application denied by financial institution,Home improvement,Debt-to-income ratio
4558,Application denied by financial institution,Home improvement,Other
4559,Application denied by financial institution,Home improvement,Credit history
4560,Application denied by financial institution,Home purchase,Debt-to-income ratio
4561,Application denied by financial institution,Refinancing,Credit history
4562,Application denied by financial institution,Home purchase,Debt-to-income ratio
4563,Application denied by financial institution,Refinancing,Credit history
4564,Application denied by financial institution,Refinancing,Debt-to-income ratio
4565,Application denied by financial institution,Refinancing,Debt-to-income ratio
4566,Application denied by financial institution,Refinancing,Credit application incomplete
4567,Application denied by financial institution,Home improvement,Credit history
4568,Application denied by financial institution,Home purchase,Debt-to-income ratio
4569,Application denied by financial institution,Home purchase,Credit application incomplete
4570,Application denied by financial institution,Refinancing,Collateral
4571,Application denied by financial institution,Home purchase,Other
4572,Application denied by financial institution,Home purchase,Debt-to-income ratio
4573,Application denied by financial institution,Home purchase,Credit history
4574,Application denied by financial institution,Refinancing,Collateral
4575,Application denied by financial institution,Home improvement,Credit history
4576,Application denied by financial institution,Home improvement,Credit history
4577,Application denied by financial institution,Refinancing,Debt-to-income ratio
4578,Application denied by financial institution,Refinancing,Credit application incomplete
4579,Application denied by financial institution,Refinancing,Credit application incomplete
4580,Application denied by financial institution,Refinancing,Debt-to-income ratio
4581,Application denied by financial institution,Home improvement,Other
4582,Application denied by financial institution,Home improvement,Debt-to-income ratio
4583,Application denied by financial institution,Home improvement,Debt-to-income ratio
4584,Application denied by financial institution,Home purchase,Other
4585,Application denied by financial institution,Refinancing,Debt-to-income ratio
4586,Application denied by financial institution,Home improvement,Collateral
4587,Application denied by financial institution,Home purchase,Unverifiable information
4588,Application denied by financial institution,Refinancing,Credit history
4589,Application denied by financial institution,Home improvement,Collateral
4590,Application denied by financial institution,Home improvement,Credit application incomplete
4591,Application denied by financial institution,Refinancing,Collateral
4592,Application denied by financial institution,Home purchase,Debt-to-income ratio
4593,Application denied by financial institution,Refinancing,Collateral
4594,Application denied by financial institution,Refinancing,Debt-to-income ratio
4595,Application denied by financial institution,Home improvement,Debt-to-income ratio
4596,Application denied by financial institution,Home purchase,Debt-to-income ratio
4597,Application denied by financial institution,Home purchase,Debt-to-income ratio
4598,Application denied by financial institution,Refinancing,Credit application incomplete
4599,Application denied by financial institution,Home improvement,Credit application incomplete
4600,Application denied by financial institution,Home purchase,Other
4601,Application denied by financial institution,Refinancing,Debt-to-income ratio
4602,Application denied by financial institution,Home improvement,Other
4603,Application denied by financial institution,Home purchase,Collateral
4604,Application denied by financial institution,Refinancing,Debt-to-income ratio
4605,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
4606,Application denied by financial institution,Home improvement,Credit application incomplete
4607,Application denied by financial institution,Home purchase,Credit application incomplete
4608,Application denied by financial institution,Refinancing,Credit application incomplete
4609,Application denied by financial institution,Refinancing,Credit history
4610,Application denied by financial institution,Home purchase,Debt-to-income ratio
4611,Application denied by financial institution,Refinancing,Debt-to-income ratio
4612,Application denied by financial institution,Home purchase,Debt-to-income ratio
4613,Application denied by financial institution,Refinancing,Debt-to-income ratio
4614,Application denied by financial institution,Refinancing,Collateral
4615,Application denied by financial institution,Refinancing,Credit application incomplete
4616,Application denied by financial institution,Refinancing,Credit application incomplete
4617,Application denied by financial institution,Refinancing,Debt-to-income ratio
4618,Application denied by financial institution,Home purchase,Credit history
4619,Application denied by financial institution,Home purchase,Credit history
4620,Application denied by financial institution,Home improvement,Other
4621,Application denied by financial institution,Home improvement,Credit history
4622,Application denied by financial institution,Refinancing,Credit application incomplete
4623,Application denied by financial institution,Refinancing,Debt-to-income ratio
4624,Application denied by financial institution,Home purchase,Credit history
4625,Application denied by financial institution,Refinancing,Debt-to-income ratio
4626,Application denied by financial institution,Home purchase,Credit history
4627,Application denied by financial institution,Refinancing,Collateral
4628,Application denied by financial institution,Home improvement,Debt-to-income ratio
4629,Application denied by financial institution,Home purchase,Credit application incomplete
4630,Application denied by financial institution,Home purchase,Unverifiable information
4631,Application denied by financial institution,Refinancing,Credit history
4632,Application denied by financial institution,Refinancing,Debt-to-income ratio
4633,Application denied by financial institution,Refinancing,Collateral
4634,Application denied by financial institution,Refinancing,Credit application incomplete
4635,Application denied by financial institution,Refinancing,Debt-to-income ratio
4636,Application denied by financial institution,Home purchase,Collateral
4637,Application denied by financial institution,Home purchase,Collateral
4638,Application denied by financial institution,Home purchase,Credit application incomplete
4639,Application denied by financial institution,Home improvement,Credit history
4640,Application denied by financial institution,Home purchase,Collateral
4641,Application denied by financial institution,Home improvement,Credit history
4642,Application denied by financial institution,Home improvement,Credit history
4643,Application denied by financial institution,Refinancing,Debt-to-income ratio
4644,Application denied by financial institution,Home improvement,Debt-to-income ratio
4645,Application denied by financial institution,Refinancing,Credit application incomplete
4646,Application denied by financial institution,Refinancing,Other
4647,Application denied by financial institution,Refinancing,Debt-to-income ratio
4648,Application denied by financial institution,Refinancing,Debt-to-income ratio
4649,Application denied by financial institution,Refinancing,Collateral
4650,Application denied by financial institution,Home purchase,Other
4651,Application denied by financial institution,Refinancing,Credit history
4652,Application denied by financial institution,Home improvement,Credit history
4653,Application denied by financial institution,Refinancing,Debt-to-income ratio
4654,Application denied by financial institution,Home purchase,Debt-to-income ratio
4655,Application denied by financial institution,Home purchase,Collateral
4656,Application denied by financial institution,Refinancing,Debt-to-income ratio
4657,Application denied by financial institution,Home purchase,Collateral
4658,Application denied by financial institution,Home purchase,Collateral
4659,Application denied by financial institution,Refinancing,Debt-to-income ratio
4660,Application denied by financial institution,Refinancing,Debt-to-income ratio
4661,Application denied by financial institution,Refinancing,Debt-to-income ratio
4662,Application denied by financial institution,Home purchase,Credit application incomplete
4663,Application denied by financial institution,Home purchase,Debt-to-income ratio
4664,Application denied by financial institution,Home purchase,Mortgage insurance denied
4665,Application denied by financial institution,Refinancing,Other
4666,Application denied by financial institution,Refinancing,Collateral
4667,Application denied by financial institution,Home improvement,Credit history
4668,Application denied by financial institution,Refinancing,Collateral
4669,Application denied by financial institution,Home purchase,Employment history
4670,Application denied by financial institution,Refinancing,Collateral
4671,Application denied by financial institution,Home purchase,Employment history
4672,Application denied by financial institution,Refinancing,Collateral
4673,Application denied by financial institution,Refinancing,Debt-to-income ratio
4674,Application denied by financial institution,Home improvement,Credit history
4675,Application denied by financial institution,Home purchase,Collateral
4676,Application denied by financial institution,Home improvement,Credit history
4677,Application denied by financial institution,Refinancing,Other
4678,Application denied by financial institution,Refinancing,Credit application incomplete
4679,Application denied by financial institution,Home purchase,Debt-to-income ratio
4680,Application denied by financial institution,Home improvement,Debt-to-income ratio
4681,Application denied by financial institution,Refinancing,Credit history
4682,Application denied by financial institution,Home purchase,Collateral
4683,Application denied by financial institution,Refinancing,Credit application incomplete
4684,Application denied by financial institution,Refinancing,Debt-to-income ratio
4685,Application denied by financial institution,Refinancing,Credit application incomplete
4686,Application denied by financial institution,Home improvement,Credit history
4687,Application denied by financial institution,Refinancing,Debt-to-income ratio
4688,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
4689,Application denied by financial institution,Home improvement,Credit history
4690,Application denied by financial institution,Home improvement,Credit history
4691,Application denied by financial institution,Home improvement,Other
4692,Application denied by financial institution,Refinancing,Debt-to-income ratio
4693,Application denied by financial institution,Refinancing,Debt-to-income ratio
4694,Application denied by financial institution,Refinancing,Collateral
4695,Application denied by financial institution,Refinancing,Credit history
4696,Application denied by financial institution,Home purchase,Credit application incomplete
4697,Application denied by financial institution,Refinancing,Debt-to-income ratio
4698,Application denied by financial institution,Refinancing,Collateral
4699,Application denied by financial institution,Refinancing,Other
4700,Application denied by financial institution,Home purchase,Collateral
4701,Application denied by financial institution,Home improvement,Debt-to-income ratio
4702,Application denied by financial institution,Refinancing,Credit history
4703,Application denied by financial institution,Refinancing,Collateral
4704,Application denied by financial institution,Refinancing,Collateral
4705,Application denied by financial institution,Refinancing,Collateral
4706,Application denied by financial institution,Refinancing,Collateral
4707,Application denied by financial institution,Refinancing,Other
4708,Application denied by financial institution,Refinancing,Collateral
4709,Application denied by financial institution,Home purchase,Debt-to-income ratio
4710,Application denied by financial institution,Home improvement,Debt-to-income ratio
4711,Application denied by financial institution,Refinancing,Collateral
4712,Application denied by financial institution,Home purchase,Credit history
4713,Application denied by financial institution,Refinancing,Collateral
4714,Application denied by financial institution,Home improvement,Credit application incomplete
4715,Application denied by financial institution,Home improvement,Credit history
4716,Application denied by financial institution,Refinancing,Credit application incomplete
4717,Application denied by financial institution,Home purchase,Debt-to-income ratio
4718,Application denied by financial institution,Refinancing,Credit application incomplete
4719,Application denied by financial institution,Home improvement,Credit history
4720,Application denied by financial institution,Home purchase,Collateral
4721,Application denied by financial institution,Refinancing,Credit application incomplete
4722,Application denied by financial institution,Refinancing,Debt-to-income ratio
